domain,seed,system,latency,throughput,energy,posture,switches
TRAFFIC,13,DPoS,0.14976508978559572,0.6837365973090695,0.8599999999999999,0.7752772988103199,0
TRAFFIC,14,CDACF,0.18059979732824927,0.6376936851498651,0.79782,0.8179203903951626,12
TRAFFIC,14,PoW,0.29880738107281496,0.3244947574690219,0.08,0.7661319889556389,0
TRAFFIC,14,PoS,0.19596865830554533,0.5768795688338167,0.8800000000000002,0.7626957969902154,0
TRAFFIC,14,PBFT,0.17147257601735214,0.6489895149380438,0.6999999999999998,0.886468183351486,0
TRAFFIC,14,PoA,0.18984463773349702,0.6634115041588893,0.9299999999999998,0.7043454487699291,0
TRAFFIC,14,DPoS,0.14697649372915897,0.6850444879901573,0.8599999999999999,0.7753150010765507,0
TRAFFIC,15,CDACF,0.17969517153513356,0.6409253868051246,0.77504,0.8555748639812104,11
TRAFFIC,15,PoW,0.2993395512903034,0.3234744608801226,0.08,0.7665267377182063,0
TRAFFIC,15,PoS,0.198576809156174,0.5750657082313291,0.8800000000000002,0.7631885813958859,0
TRAFFIC,15,PBFT,0.17378173647940975,0.6469489217602452,0.6999999999999998,0.8869931383895724,0
TRAFFIC,15,PoA,0.1924012082450608,0.6613255644660284,0.9299999999999998,0.7046799134416126,0
TRAFFIC,15,DPoS,0.14895577412520836,0.6828905285247031,0.8599999999999999,0.7758492603264888,0
TRAFFIC,16,CDACF,0.18327141298417496,0.6411890325385522,0.77826,0.854439275402454,10
TRAFFIC,16,PoW,0.3030754844628517,0.32428322551799665,0.08,0.7665304551354659,0
TRAFFIC,16,PoS,0.2010272176737703,0.5765035120319941,0.8800000000000002,0.7631219028319031,0
TRAFFIC,16,PBFT,0.17589881546454897,0.6485664510359933,0.6999999999999998,0.886925543975331,0
TRAFFIC,16,PoA,0.19474511712146497,0.6629790388367933,0.9299999999999998,0.7046816481615089,0
TRAFFIC,16,DPoS,0.1507704132553277,0.6845979205379928,0.8599999999999999,0.7757687261695444,0
TRAFFIC,17,CDACF,0.183431775758818,0.6395712491093293,0.8015399999999999,0.8194198694262231,12
TRAFFIC,17,PoW,0.29972364636268767,0.3246584800014754,0.08,0.7664859783264737,0
TRAFFIC,17,PoS,0.19935700881042187,0.5771706311137341,0.8800000000000002,0.7629951303360586,0
TRAFFIC,17,PBFT,0.1744373827091191,0.6493169600029508,0.6999999999999998,0.8864016439322235,0
TRAFFIC,17,PoA,0.19312710228509622,0.6637462257807942,0.9299999999999998,0.7046332340815169,0
TRAFFIC,17,DPoS,0.1495177566078164,0.6853901244475592,0.8599999999999999,0.7756632096588845,0
TRAFFIC,18,CDACF,0.1828329815530576,0.6393139533013865,0.78324,0.8495103296155242,10
TRAFFIC,18,PoW,0.297575833260614,0.32404379138922046,0.08,0.7659137128499621,0
TRAFFIC,18,PoS,0.19845017965888864,0.5760778513586142,0.8800000000000002,0.7625366623197185,0
TRAFFIC,18,PBFT,0.17364390720152753,0.6480875827784409,0.6999999999999998,0.8866646039228168,0
TRAFFIC,18,PoA,0.19224861154454834,0.6624895290624063,0.9299999999999998,0.7041734943099802,0
TRAFFIC,18,DPoS,0.14883763474416645,0.6840924484883543,0.8599999999999999,0.7752962940853209,0
TRAFFIC,19,CDACF,0.1851713596807786,0.6379161546025574,0.79876,0.8181715020715383,12
TRAFFIC,19,PoW,0.29864842365963357,0.324908004093551,0.08,0.7666486067394446,0
TRAFFIC,19,PoS,0.20009338887602907,0.5776142294996461,0.8800000000000002,0.7632229596942816,0
TRAFFIC,19,PBFT,0.17510443922839464,0.649816008187102,0.6999999999999998,0.8867409017370979,0
