sigma,draw,seed,T_top_mech,T_top_share,T_switches,T_cdacf_posture,T_PoW_posture,T_PoS_posture,T_PBFT_posture,T_PoA_posture,T_DPoS_posture,E_top_mech,E_top_share,E_switches,E_cdacf_posture,E_PoW_posture,E_PoS_posture,E_PBFT_posture,E_PoA_posture,E_DPoS_posture
0.05,32,1032,PBFT,0.549,11,0.8563777053803792,0.7449377227806212,0.7583141948905866,0.8934788661723599,0.7309814649751109,0.780259032060958,PoS,0.986,1,0.7346002017767053,0.747202733524035,0.7614336933616541,0.8964231920213761,0.7321227855037116,0.7844706507767664
0.05,33,1033,PBFT,0.537,10,0.8133424795567054,0.763783088524294,0.7706990372873298,0.8329074915998084,0.6942291432204678,0.7811415298153965,PoS,0.986,1,0.7481786148506734,0.7646987664734929,0.7737227243020727,0.8345888917206146,0.6934865745998179,0.7840485954802412
0.05,34,1034,PoA,0.36,10,0.8014829563550975,0.7885392845147612,0.7797025923523428,0.8787449450214881,0.6983478108587864,0.8042022899715955,PoS,0.986,1,0.7561958464859232,0.7865436101767339,0.7798306044343385,0.8770899435596216,0.6946707629910636,0.8039027560690726
0.05,35,1035,PoS,0.55,9,0.7791698262212203,0.7528240362517952,0.7860107306420494,0.8541969347026673,0.6868901272620331,0.7027773292156522,PoS,0.986,1,0.7664773402754647,0.752862535467663,0.7878483100777721,0.8544229240037715,0.6854752601513262,0.7029962513862958
0.05,36,1036,PoS,0.428,12,0.792340515293133,0.7340294640617221,0.7699846584479008,0.9007027605302971,0.7022179290996962,0.7474916864844525,PoS,0.986,1,0.7467543039559137,0.7354356043946191,0.7731970140431675,0.9031786036256892,0.7024034742309357,0.7493367345371262
0.05,37,1037,PBFT,0.694,8,0.8689397536372997,0.7339782279853471,0.7881516942340484,0.8874874948989917,0.6789243971806408,0.7566916771294959,PoS,0.986,1,0.7689297291523681,0.7334772740534667,0.789735840457645,0.8877674411891058,0.6769926009765971,0.757009555242853
0.05,38,1038,PoS,0.552,11,0.7964366216668755,0.7966426901612323,0.8025593237395257,0.8646212471363194,0.6952528292159122,0.7975504400829161,PoS,0.986,1,0.789576516845269,0.7996187443648284,0.806220326994305,0.8675676151519968,0.6955867906136088,0.8012380241092085
0.05,39,1039,PBFT,0.536,11,0.8521855043743201,0.7607148699223892,0.74541555191634,0.8957785631806391,0.6999174879496406,0.787955112795317,PoS,0.986,1,0.7199977664826813,0.7606070513100905,0.7458958314199009,0.8955050985734809,0.6984511131708195,0.7896100351855809
0.05,40,1040,PBFT,0.563,11,0.8573208854352544,0.7288417090148944,0.7369845442092924,0.902383091579828,0.7058358545841018,0.7656373628192932,PoS,0.986,1,0.7121056330847114,0.7289161455217449,0.7376537190916249,0.902846543512834,0.7046549040566884,0.7671975017683753
0.05,41,1041,PBFT,0.556,10,0.8512197078664869,0.7546103210033188,0.7195949385322602,0.9014522260300072,0.7310827489062139,0.7917025697411388,PoS,0.986,1,0.696479360306055,0.7560424904238666,0.7209980800780437,0.9038454283723364,0.731342494424931,0.7948179947726
0.05,42,1042,PoS,0.441,15,0.776929478151351,0.8145668771095225,0.760830197883258,0.8358772029602204,0.722358698184615,0.8091613398596252,PoS,0.986,1,0.730964907814864,0.8111185441948844,0.7579389575422845,0.8308202433823999,0.7160172283324361,0.8060337425903533
0.05,43,1043,PBFT,0.563,11,0.8382333158631545,0.8122300708416352,0.7183473091290532,0.8843652927032151,0.7055481544396036,0.78532163360005,PoS,0.986,1,0.6954119408619491,0.8157567931711669,0.7199998178677391,0.8876012053571962,0.7058972175951399,0.7886405838699003
